
            boundary,locagrid
feature,"350 Ralston Street, San Francisco, California 94132"
center,"-122.4688, 37.7188"
scenario,Medium (RCP 4.5)
climate variable,Maximum Temperature
climate indicator,[object Object]
units,degree days 
            
 

            year,Observed,CanESM2 (Average),CNRM-CM5 (Cool/Wet),HadGEM2-ES (Warm/Dry),MIROC5 (Complement)
2016,,2801.9255371094,3250.46875,2919.1318359375,3348.73046875
2017,,2904.8217773438,3002.5654296875,2690.4108886719,3119.11328125
2018,,2937.0881347656,3360.2763671875,3140.6879882812,3470.8095703125
2019,,3120.8132324219,3328.4011230469,2978.7517089844,3293.9467773438
2020,,2790.5920410156,3416.9572753906,3218.9262695312,3325.9851074219
2021,,2762.9460449219,3502.7399902344,3152.2487792969,3539.6242675781
2022,,2981.5402832031,3149.9567871094,2865.6591796875,2816.0922851562
2023,,2879.3569335938,3120.76171875,2908.1801757812,3278.0471191406
2024,,2983.65625,3058.8981933594,3181.4694824219,3109.4836425781
2025,,2996.4428710938,3236.0119628906,3081.9782714844,3092.9313964844
2026,,2732.1733398438,2908.12890625,3214.0686035156,2717.2604980469
2027,,2906.8686523438,3153.1818847656,3189.642578125,3333.0395507812
2028,,2730.7819824219,3373.1901855469,3344.6645507812,3185.6469726562
2029,,2620.3093261719,3056.1489257812,3272.1560058594,2999.4020996094
2030,,2577.7932128906,2917.0681152344,3199.6484375,3112.6870117188
2031,,2480.8481445312,2950.7292480469,2688.4645996094,3088.9499511719
2032,,2797.4040527344,3145.2985839844,2745.2241210938,2933.0285644531
2033,,2837.86328125,2697.9431152344,3152.2314453125,2961.9426269531
2034,,2741.541015625,2659.3823242188,2787.7092285156,2996.4636230469
2035,,2638.810546875,3087.8781738281,3119.9145507812,2853.6904296875
2036,,2449.2822265625,2881.15625,2913.4782714844,3021.0991210938
2037,,2421.6591796875,2828.4052734375,3067.2045898438,2726.5620117188
2038,,2623.6928710938,3167.06640625,2977.3547363281,2796.1418457031
2039,,2713.3764648438,3089.8937988281,2898.4050292969,2614.4372558594
2040,,2604.6306152344,2896.3532714844,3356.1254882812,3121.6962890625
2041,,2685.5161132812,3213.9729003906,2754.9052734375,2631.7475585938
2042,,2657.3684082031,2868.3959960938,3134.2761230469,2471.3881835938
2043,,2987.6013183594,2680.8852539062,2524.7097167969,3067.7231445312
2044,,2830.1325683594,2997.9606933594,2498.4919433594,2756.5725097656
2045,,2676.2702636719,3046.5295410156,2635.8249511719,2811.3071289062
2046,,2448.2854003906,3011.109375,2810.9643554688,3004.0710449219
2047,,2530.2932128906,2705.4196777344,2556.9560546875,2559.7414550781
2048,,2292.8940429688,2740.9057617188,2646.6013183594,2600.3850097656
2049,,2415.5375976562,2646.1965332031,2673.4685058594,3088.3168945312
2050,,2399.7214355469,2694.4943847656,2493.1591796875,2756.8974609375
2051,,2215.8991699219,2628.6572265625,2976.7180175781,2967.3894042969
2052,,2543.1684570312,2612.4389648438,2509.0834960938,2586.7016601562
2053,,2123.9362792969,2815.880859375,2564.5539550781,2512.7690429688
2054,,2113.2287597656,2513.2263183594,2210.5119628906,2566.2961425781
2055,,2115.8911132812,2743.73828125,2245.3239746094,2702.8937988281
2056,,2443.4819335938,3216.765625,2715.1508789062,2615.6491699219
2057,,2572.7336425781,3196.3647460938,2277.6730957031,2987.1787109375
2058,,2180.5791015625,2759.052734375,2041.2028808594,3210.6940917969
2059,,2066.5852050781,2879.8806152344,2236.6057128906,2686.0893554688
2060,,1926.7136230469,2426.8676757812,2744.7802734375,2785.0246582031
2061,,2373.8940429688,2981.1943359375,2425.9357910156,2522.6181640625
2062,,2193.1687011719,2483.1403808594,2298.5380859375,2809.2265625
2063,,2231.4377441406,2628.8430175781,2344.6689453125,2904.8295898438
2064,,2112.6628417969,2414.2238769531,2116.6596679688,2528.1284179688
2065,,2298.3232421875,2842.5078125,2306.0532226562,2491.8891601562
2066,,2266.51171875,2647.3642578125,2086.4345703125,2863.1301269531
2067,,2174.0112304688,2965.4084472656,2253.4543457031,2648.3940429688
2068,,2209.447265625,2596.6123046875,2145.6481933594,2789.0576171875
2069,,2209.9123535156,2338.3325195312,2125.2387695312,2849.8991699219
2070,,2039.9896240234,2436.2687988281,2423.5620117188,2208.9123535156
2071,,2004.5733642578,2655.3386230469,2088.7028808594,2440.2646484375
2072,,2169.3596191406,2237.2268066406,1952.0968017578,2281.67578125
2073,,2266.0573730469,2447.5170898438,2196.916015625,2977.8347167969
2074,,1811.4637451172,2634.3422851562,1961.5756835938,3057.7575683594
2075,,2243.5625,2305.8774414062,2341.9458007812,2513.2192382812
2076,,2118.8234863281,2277.556640625,1736.9796142578,2297.2868652344
2077,,1863.7578125,2660.9235839844,1934.0164794922,2554.9602050781
2078,,2109.3215332031,2520.2756347656,1872.2036132812,2378.7761230469
2079,,1932.6240234375,2681.8422851562,2018.6446533203,2456.4018554688
2080,,1653.1610107422,2853.6013183594,2391.6831054688,2907.8752441406
2081,,1740.0506591797,2637.5537109375,2228.8395996094,2081.3540039062
2082,,1996.3656005859,2126.2336425781,2181.5029296875,2418.7768554688
2083,,2192.8037109375,2437.361328125,2158.2182617188,2524.5856933594
2084,,2027.8879394531,2736.005859375,1803.8979492188,2402.5310058594
2085,,1897.7185058594,2600.5688476562,1614.6774902344,2282.4392089844
2086,,1835.4376220703,2318.0227050781,1958.8513183594,2007.7938232422
2087,,1835.6240234375,2486.0695800781,1878.4345703125,2883.6711425781
2088,,1971.1877441406,2551.8166503906,2288.8850097656,2427.9855957031
2089,,2183.8044433594,2853.8100585938,2483.8110351562,1973.8930664062
2090,,2170.2194824219,2388.2463378906,1956.5648193359,2631.9904785156
2091,,2387.3571777344,2414.5437011719,2012.5638427734,2671.3000488281
2092,,2290.7131347656,2428.8234863281,2104.5095214844,2546.1782226562
2093,,2177.4025878906,2383.5656738281,2346.8999023438,2658.7470703125
2094,,2217.1264648438,2444.5556640625,1768.7863769531,2427.1682128906
2095,,2330.3112792969,2355.98828125,1832.7406005859,2289.9521484375
2096,,2325.0295410156,2631.6401367188,2220.0456542969,2296.8840332031
2097,,2248.2490234375,2464.2844238281,2052.2431640625,2262.2426757812
2098,,2028.7283935547,2391.4230957031,1960.9079589844,2337.6333007812
2099,,1934.4166259766,2340.1179199219,2189.0895996094,2142.9497070312
2100,,1852.2058105469,2435.4670410156,,
          
