
            boundary,locagrid
feature,"350 Ralston Street, San Francisco, California 94132"
center,"-122.4688, 37.7188"
scenario,Medium (RCP 4.5)
climate variable,Maximum Temperature
climate indicator,[object Object]
units,degree days 
            
 

            year,Observed,CanESM2 (Average),CNRM-CM5 (Cool/Wet),HadGEM2-ES (Warm/Dry),MIROC5 (Complement)
2065,,111.1987457275,24.7594070435,171.6744689941,68.9506072998
2066,,113.2544174194,75.2572250366,321.0704345703,63.6418075562
2067,,72.2641448975,27.6781234741,231.6917419434,76.5148925781
2068,,179.176864624,99.5883483887,173.0209655762,31.5166168213
2069,,135.4763793945,109.9352035522,387.6669311523,32.3333435059
2070,,128.3660888672,86.3093643188,271.443359375,110.2246627808
2071,,168.0941162109,75.5295791626,240.2701721191,108.2347335815
2072,,146.8135375977,102.2832717896,233.6670379639,87.5336074829
2073,,112.5412216187,95.8460159302,145.1883850098,79.8070526123
2074,,277.8342590332,75.5661621094,267.082244873,24.8039093018
2075,,320.409576416,107.7209243774,202.8379364014,93.1612014771
2076,,137.01612854,193.7568359375,283.7406005859,96.5505447388
2077,,183.9760131836,59.8499145508,206.5000915527,108.1782836914
2078,,207.9489135742,97.7285919189,372.1860656738,59.6761932373
2079,,221.7757873535,59.5470352173,199.8172912598,37.7179107666
2080,,258.8803405762,31.8843688965,155.8906707764,49.4844360352
2081,,196.0463256836,34.6316680908,181.957611084,168.8943481445
2082,,262.9498901367,72.0163192749,95.7994689941,90.1957473755
2083,,87.3221511841,143.0717926025,239.0761260986,109.7040634155
2084,,240.315612793,46.4476318359,219.6049804688,55.773223877
2085,,128.7256164551,32.6886978149,359.2805175781,136.4519042969
2086,,239.4228820801,151.712097168,351.5061035156,161.7469787598
2087,,148.1282043457,45.7321777344,248.3492126465,51.2605056763
2088,,217.8487854004,99.4801940918,269.7601318359,50.6367874146
2089,,141.9723510742,42.7609863281,127.5087127686,85.4815979004
2090,,161.6131134033,43.9697875977,144.9517822266,64.1383056641
2091,,106.6322860718,84.0416412354,279.5486755371,50.3148345947
2092,,137.9957275391,125.9825973511,101.7393569946,110.5141601562
2093,,95.8207550049,61.6764831543,187.3874511719,54.3077011108
2094,,36.250617981,118.2477798462,177.1007843018,106.0799942017
2095,,76.2444915771,138.8161010742,299.0678100586,90.8793945312
2096,,89.8278274536,44.3291091919,89.59349823,173.1957855225
2097,,130.6460113525,113.0747528076,257.8351135254,103.7754135132
2098,,117.383605957,104.738067627,186.4057769775,111.4807052612
2099,,193.6664581299,111.2769927979,277.8934631348,108.1827011108
2100,,180.020904541,74.2351379395,,
          
